game_date,league,home_team,event_name,venue_name,longitude,latitude
2023-06-10,MLS,Atlanta United FC,D.C. United at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2023-06-11,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-06-15,MLB,Atlanta Braves,Colorado Rockies at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-06-16,MLB,Atlanta Braves,Colorado Rockies at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-06-17,MLB,Atlanta Braves,Colorado Rockies at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-06-18,MLB,Atlanta Braves,Colorado Rockies at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-06-21,MLS,Atlanta United FC,New York City FC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2023-06-26,MLB,Atlanta Braves,Minnesota Twins at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-06-27,MLB,Atlanta Braves,Minnesota Twins at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-06-28,MLB,Atlanta Braves,Minnesota Twins at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-06-30,MLB,Atlanta Braves,Miami Marlins at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-01,MLB,Atlanta Braves,Miami Marlins at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-02,MLS,Atlanta United FC,Toronto FC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2023-07-02,MLB,Atlanta Braves,Miami Marlins at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-14,MLB,Atlanta Braves,Chicago White Sox at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-15,MLS,Atlanta United FC,Orlando City SC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2023-07-15,MLB,Atlanta Braves,Chicago White Sox at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-16,MLB,Atlanta Braves,Chicago White Sox at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-18,MLB,Atlanta Braves,Arizona Diamondbacks at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-19,MLB,Atlanta Braves,Arizona Diamondbacks at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-20,MLB,Atlanta Braves,Arizona Diamondbacks at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-28,MLB,Atlanta Braves,Milwaukee Brewers at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-29,MLB,Atlanta Braves,Milwaukee Brewers at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-30,MLB,Atlanta Braves,Milwaukee Brewers at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-07-31,MLB,Atlanta Braves,Los Angeles Angels at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-01,MLB,Atlanta Braves,Los Angeles Angels at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-02,MLB,Atlanta Braves,Los Angeles Angels at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-14,MLB,Atlanta Braves,New York Yankees at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-15,MLB,Atlanta Braves,New York Yankees at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-16,MLB,Atlanta Braves,New York Yankees at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-18,MLB,Atlanta Braves,San Francisco Giants at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-19,MLB,Atlanta Braves,San Francisco Giants at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-20,MLB,Atlanta Braves,San Francisco Giants at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-21,MLB,Atlanta Braves,New York Mets at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-22,MLB,Atlanta Braves,New York Mets at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-23,MLB,Atlanta Braves,New York Mets at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-08-26,MLS,Atlanta United FC,Nashville SC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2023-08-30,MLS,Atlanta United FC,New England Revolution at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2023-09-05,MLB,Atlanta Braves,St. Louis Cardinals at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-06,MLB,Atlanta Braves,St. Louis Cardinals at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-07,MLB,Atlanta Braves,St. Louis Cardinals at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-08,MLB,Atlanta Braves,Pittsburgh Pirates at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-09,MLB,Atlanta Braves,Pittsburgh Pirates at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-10,MLB,Atlanta Braves,Pittsburgh Pirates at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-16,MLS,Atlanta United FC,Inter Miami CF at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2023-09-18,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-19,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-20,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-23,MLS,Atlanta United FC,CF Montréal at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2023-09-26,MLB,Atlanta Braves,Chicago Cubs at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-27,MLB,Atlanta Braves,Chicago Cubs at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-28,MLB,Atlanta Braves,Chicago Cubs at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-29,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-09-30,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-10-01,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-10-07,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-10-07,MLS,Atlanta United FC,Columbus Crew at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2023-10-09,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2023-10-19,NBA,Atlanta Hawks,Houston at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-10-21,NBA,Atlanta Hawks,Orlando at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-10-23,NBA,Atlanta Hawks,Charlotte at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-05,NBA,Atlanta Hawks,New Orleans at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-07,NBA,Atlanta Hawks,Milwaukee at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-09,NBA,Atlanta Hawks,Utah at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2023-11-10,NBA,Atlanta Hawks,Philadelphia at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
