gamePk,event_name,game_date,home_team,away_team,venue_name,venue_id
717807,Washington Nationals at Atlanta Braves,2023-06-11,Atlanta Braves,Washington Nationals,Truist Park,4705
717754,Colorado Rockies at Atlanta Braves,2023-06-15,Atlanta Braves,Colorado Rockies,Truist Park,4705
717745,Colorado Rockies at Atlanta Braves,2023-06-16,Atlanta Braves,Colorado Rockies,Truist Park,4705
717724,Colorado Rockies at Atlanta Braves,2023-06-17,Atlanta Braves,Colorado Rockies,Truist Park,4705
717716,Colorado Rockies at Atlanta Braves,2023-06-18,Atlanta Braves,Colorado Rockies,Truist Park,4705
717609,Minnesota Twins at Atlanta Braves,2023-06-26,Atlanta Braves,Minnesota Twins,Truist Park,4705
717600,Minnesota Twins at Atlanta Braves,2023-06-27,Atlanta Braves,Minnesota Twins,Truist Park,4705
717588,Minnesota Twins at Atlanta Braves,2023-06-28,Atlanta Braves,Minnesota Twins,Truist Park,4705
717558,Miami Marlins at Atlanta Braves,2023-06-30,Atlanta Braves,Miami Marlins,Truist Park,4705
717536,Miami Marlins at Atlanta Braves,2023-07-01,Atlanta Braves,Miami Marlins,Truist Park,4705
717532,Miami Marlins at Atlanta Braves,2023-07-02,Atlanta Braves,Miami Marlins,Truist Park,4705
717414,Chicago White Sox at Atlanta Braves,2023-07-14,Atlanta Braves,Chicago White Sox,Truist Park,4705
717395,Chicago White Sox at Atlanta Braves,2023-07-15,Atlanta Braves,Chicago White Sox,Truist Park,4705
717391,Chicago White Sox at Atlanta Braves,2023-07-16,Atlanta Braves,Chicago White Sox,Truist Park,4705
717358,Arizona Diamondbacks at Atlanta Braves,2023-07-18,Atlanta Braves,Arizona Diamondbacks,Truist Park,4705
717340,Arizona Diamondbacks at Atlanta Braves,2023-07-19,Atlanta Braves,Arizona Diamondbacks,Truist Park,4705
717337,Arizona Diamondbacks at Atlanta Braves,2023-07-20,Atlanta Braves,Arizona Diamondbacks,Truist Park,4705
717231,Milwaukee Brewers at Atlanta Braves,2023-07-28,Atlanta Braves,Milwaukee Brewers,Truist Park,4705
717211,Milwaukee Brewers at Atlanta Braves,2023-07-29,Atlanta Braves,Milwaukee Brewers,Truist Park,4705
717206,Milwaukee Brewers at Atlanta Braves,2023-07-30,Atlanta Braves,Milwaukee Brewers,Truist Park,4705
717187,Los Angeles Angels at Atlanta Braves,2023-07-31,Atlanta Braves,Los Angeles Angels,Truist Park,4705
717176,Los Angeles Angels at Atlanta Braves,2023-08-01,Atlanta Braves,Los Angeles Angels,Truist Park,4705
717165,Los Angeles Angels at Atlanta Braves,2023-08-02,Atlanta Braves,Los Angeles Angels,Truist Park,4705
717001,New York Yankees at Atlanta Braves,2023-08-14,Atlanta Braves,New York Yankees,Truist Park,4705
716987,New York Yankees at Atlanta Braves,2023-08-15,Atlanta Braves,New York Yankees,Truist Park,4705
716970,New York Yankees at Atlanta Braves,2023-08-16,Atlanta Braves,New York Yankees,Truist Park,4705
716949,San Francisco Giants at Atlanta Braves,2023-08-18,Atlanta Braves,San Francisco Giants,Truist Park,4705
