game_date,season,home_team,away_team,score,event_name,venue_name,venue_city,league
2023-06-10,2023,Atlanta United FC,D.C. United,1-0,D.C. United at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2023-06-21,2023,Atlanta United FC,New York City FC,0-4,New York City FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2023-07-02,2023,Atlanta United FC,Toronto FC,0-2,Toronto FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2023-07-15,2023,Atlanta United FC,Orlando City SC,3-3,Orlando City SC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2023-08-26,2023,Atlanta United FC,Nashville SC,5-1,Nashville SC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2023-08-30,2023,Atlanta United FC,New England Revolution,3-0,New England Revolution at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2023-09-16,2023,Atlanta United FC,Inter Miami CF,1-4,Inter Miami CF at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2023-09-23,2023,Atlanta United FC,CF Montréal,5-0,CF Montréal at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2023-10-07,2023,Atlanta United FC,Columbus Crew,1-1,Columbus Crew at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-03-09,2024,Atlanta United FC,New England Revolution,4-1,New England Revolution at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-03-17,2024,Atlanta United FC,Orlando City SC,2-0,Orlando City SC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-03-31,2024,Atlanta United FC,Chicago Fire FC,3-0,Chicago Fire FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-04-14,2024,Atlanta United FC,Philadelphia Union,2-2,Philadelphia Union at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-04-20,2024,Atlanta United FC,FC Cincinnati,1-2,FC Cincinnati at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-05-04,2024,Atlanta United FC,Minnesota United FC,1-2,Minnesota United FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-05-11,2024,Atlanta United FC,D.C. United,2-3,D.C. United at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-05-25,2024,Atlanta United FC,Nashville SC,0-1,Nashville SC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-06-02,2024,Atlanta United FC,Charlotte FC,2-3,Charlotte FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-06-15,2024,Atlanta United FC,Houston Dynamo FC,2-2,Houston Dynamo FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-06-29,2024,Atlanta United FC,Toronto FC,2-1,Toronto FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-07-17,2024,Atlanta United FC,New York City FC,2-2,New York City FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-07-20,2024,Atlanta United FC,Columbus Crew,2-1,Columbus Crew at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-09-14,2024,Atlanta United FC,Nashville SC,0-2,Nashville SC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-09-18,2024,Atlanta United FC,Inter Miami CF,2-2,Inter Miami CF at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-10-02,2024,Atlanta United FC,CF Montréal,1-2,CF Montréal at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2024-10-05,2024,Atlanta United FC,New York Red Bulls,2-1,New York Red Bulls at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2025-02-22,2025,Atlanta United FC,CF Montréal,,CF Montréal at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2025-03-09,2025,Atlanta United FC,Orlando City SC,,Orlando City SC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2025-03-23,2025,Atlanta United FC,Charlotte FC,,Charlotte FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2025-04-05,2025,Atlanta United FC,Chicago Fire FC,,Chicago Fire FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2025-05-03,2025,Atlanta United FC,New York City FC,,New York City FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2025-05-17,2025,Atlanta United FC,Philadelphia Union,,Philadelphia Union at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
2025-06-12,2025,Atlanta United FC,New York City FC,,New York City FC at Atlanta United FC,Mercedes-Benz Stadium,Atlanta,MLS
