game_date,season,home_team,away_team,event_name,venue_name,venue_city,season_type
2023-10-19,2023-2024,Atlanta Hawks,Houston,Houston at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-10-21,2023-2024,Atlanta Hawks,Orlando,Orlando at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-10-23,2023-2024,Atlanta Hawks,Charlotte,Charlotte at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-11-05,2023-2024,Atlanta Hawks,New Orleans,New Orleans at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-11-07,2023-2024,Atlanta Hawks,Milwaukee,Milwaukee at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-11-09,2023-2024,Atlanta Hawks,Utah,Utah at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-11-10,2023-2024,Atlanta Hawks,Philadelphia,Philadelphia at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-11-16,2023-2024,Atlanta Hawks,Boston,Boston at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-11-19,2023-2024,Atlanta Hawks,Toronto,Toronto at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-11-23,2023-2024,Atlanta Hawks,Sacramento,Sacramento at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-11-27,2023-2024,Atlanta Hawks,Miami,Miami at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-12-02,2023-2024,Atlanta Hawks,Denver,Denver at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-12-05,2023-2024,Atlanta Hawks,Oklahoma City,Oklahoma City at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-12-11,2023-2024,Atlanta Hawks,Chicago,Chicago at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-12-19,2023-2024,Atlanta Hawks,Orlando,Orlando at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-12-21,2023-2024,Atlanta Hawks,Chicago,Chicago at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-12-23,2023-2024,Atlanta Hawks,Detroit,Detroit at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-12-28,2023-2024,Atlanta Hawks,Brooklyn,Brooklyn at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2023-12-30,2023-2024,Atlanta Hawks,Los Angeles,Los Angeles at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2024-01-11,2023-2024,Atlanta Hawks,Milwaukee,Milwaukee at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2024-01-16,2023-2024,Atlanta Hawks,Miami,Miami at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2024-01-20,2023-2024,Atlanta Hawks,New York,New York at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2024-01-21,2023-2024,Atlanta Hawks,Charlotte,Charlotte at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2024-01-28,2023-2024,Atlanta Hawks,LA,LA at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
2024-02-09,2023-2024,Atlanta Hawks,Phoenix,Phoenix at Atlanta Hawks,State Farm Arena,Atlanta,Regular Season
